delivery_id,order_id,dispatch_date,estimated_delivery_date,actual_delivery_date,delivery_status,carrier,tracking_number
4001,2001.0,2026-08-01,2026-08-05,,In Transit,Delhivery,AWB40001
4002,2002.0,2026-08-02,2026-08-06,2026-08-06,Delivered,Blue Dart,AWB40002
4003,2003.0,2026-08-03,2026-08-07,,In Transit,DTDC,AWB40003
4004,2004.0,2026-08-04,2026-08-08,2026-08-08,Delivered,Ecom Express,AWB40004
4005,2005.0,2026-08-05,2026-08-09,,In Transit,Delhivery,AWB40005
4006,2006.0,2026-08-06,2026-08-10,2026-08-10,Delivered,Blue Dart,AWB40006
4007,2007.0,2026-08-07,2026-08-11,,In Transit,DTDC,AWB40007
4008,2008.0,2026-08-08,2026-08-12,2026-08-12,Delivered,Ecom Express,AWB40008
4009,2009.0,2026-08-09,2026-08-13,,In Transit,Delhivery,AWB40009
4010,2010.0,2026-08-10,2026-08-14,2026-08-14,Delivered,Blue Dart,AWB40010
4011,2011.0,2026-08-11,2026-08-15,,In Transit,DTDC,AWB40011
4012,2012.0,2026-08-12,2026-08-16,2026-08-16,Delivered,Ecom Express,AWB40012
4013,2013.0,2026-08-13,2026-08-17,,In Transit,Delhivery,AWB40013
4014,2014.0,2026-08-14,2026-08-18,2026-08-18,Delivered,Blue Dart,AWB40014
4015,2015.0,2026-08-15,2026-08-19,,In Transit,DTDC,AWB40015
4016,2016.0,2026-08-01,2026-08-05,2026-08-05,Delivered,Ecom Express,AWB40016
4017,2017.0,2026-08-02,2026-08-06,,In Transit,Delhivery,AWB40017
4018,2018.0,2026-08-03,2026-08-07,2026-08-07,Delivered,Blue Dart,AWB40018
4019,2019.0,2026-08-04,2026-08-08,,In Transit,DTDC,AWB40019
4020,2020.0,2026-08-05,2026-08-09,2026-08-09,Delivered,Ecom Express,AWB40020
4021,2021.0,2026-08-06,2026-08-10,,In Transit,Delhivery,AWB40021
4022,2022.0,2026-08-07,2026-08-11,2026-08-11,Delivered,Blue Dart,AWB40022
4023,2023.0,2026-08-08,2026-08-12,,In Transit,DTDC,AWB40023
4024,2024.0,2026-08-09,2026-08-13,2026-08-13,Delivered,Ecom Express,AWB40024
4025,2025.0,2026-08-10,2026-08-14,,In Transit,Delhivery,AWB40025
4026,2026.0,2026-08-11,2026-08-15,2026-08-15,Delivered,Blue Dart,AWB40026
4027,2027.0,2026-08-12,2026-08-16,,In Transit,DTDC,AWB40027
4028,2028.0,2026-08-13,2026-08-17,2026-08-17,Delivered,Ecom Express,AWB40028
4029,2029.0,2026-08-14,2026-08-18,,In Transit,Delhivery,AWB40029
4030,2030.0,2026-08-15,2026-08-19,2026-08-19,Delivered,Blue Dart,AWB40030
4031,2031.0,2026-08-01,2026-08-05,,In Transit,DTDC,AWB40031
4032,2032.0,2026-08-02,2026-08-06,2026-08-06,Delivered,Ecom Express,AWB40032
4033,2033.0,2026-08-03,2026-08-07,,In Transit,Delhivery,AWB40033
4034,2034.0,2026-08-04,2026-08-08,2026-08-08,Delivered,Blue Dart,AWB40034
4035,2035.0,2026-08-05,2026-08-09,,In Transit,DTDC,AWB40035
4036,2036.0,2026-08-06,2026-08-10,2026-08-10,Delivered,Ecom Express,AWB40036
4037,2037.0,2026-08-07,2026-08-11,,In Transit,Delhivery,AWB40037
4038,2038.0,2026-08-08,2026-08-12,2026-08-12,Delivered,Blue Dart,AWB40038
4039,2039.0,2026-08-09,2026-08-13,,In Transit,DTDC,AWB40039
4040,2040.0,2026-08-10,2026-08-14,2026-08-14,Delivered,Ecom Express,AWB40040
4041,2041.0,2026-08-11,2026-08-15,,In Transit,Delhivery,AWB40041
4042,2042.0,2026-08-12,2026-08-16,2026-08-16,Delivered,Blue Dart,AWB40042
4043,2043.0,2026-08-13,2026-08-17,,In Transit,DTDC,AWB40043
4044,2044.0,2026-08-14,2026-08-18,2026-08-18,Delivered,Ecom Express,AWB40044
4045,2045.0,2026-08-15,2026-08-19,,In Transit,Delhivery,AWB40045
4046,2046.0,2026-08-01,2026-08-05,2026-08-05,Delivered,Blue Dart,AWB40046
4047,2047.0,2026-08-02,2026-08-06,,In Transit,DTDC,AWB40047
4048,2048.0,2026-08-03,2026-08-07,2026-08-07,Delivered,Ecom Express,AWB40048
4049,2049.0,2026-08-04,2026-08-08,,In Transit,Delhivery,AWB40049
4050,2050.0,2026-08-05,2026-08-09,2026-08-09,Delivered,Blue Dart,AWB40050
4051,2051.0,2026-08-06,2026-08-10,,In Transit,DTDC,AWB40051
4052,2052.0,2026-08-07,2026-08-11,2026-08-11,Delivered,Ecom Express,AWB40052
4053,2053.0,2026-08-08,2026-08-12,,In Transit,Delhivery,AWB40053
4054,2054.0,2026-08-09,2026-08-13,2026-08-13,Delivered,Blue Dart,AWB40054
4055,2055.0,2026-08-10,2026-08-14,,In Transit,DTDC,AWB40055
4056,2056.0,2026-08-11,2026-08-15,2026-08-15,Delivered,Ecom Express,AWB40056
4057,2057.0,2026-08-12,2026-08-16,,In Transit,Delhivery,AWB40057
4058,2058.0,2026-08-13,2026-08-17,2026-08-17,Delivered,Blue Dart,AWB40058
4059,2059.0,2026-08-14,2026-08-18,,In Transit,DTDC,AWB40059
4060,2060.0,2026-08-15,2026-08-19,2026-08-19,Delivered,Ecom Express,AWB40060
4061,2061.0,2026-08-01,2026-08-05,,In Transit,Delhivery,AWB40061
4062,2062.0,2026-08-02,2026-08-06,2026-08-06,Delivered,Blue Dart,AWB40062
4063,2063.0,2026-08-03,2026-08-07,,In Transit,DTDC,AWB40063
4064,2064.0,2026-08-04,2026-08-08,2026-08-08,Delivered,Ecom Express,AWB40064
4065,2065.0,2026-08-05,2026-08-09,,In Transit,Delhivery,AWB40065
4066,2066.0,2026-08-06,2026-08-10,2026-08-10,Delivered,Blue Dart,AWB40066
4067,2067.0,2026-08-07,2026-08-11,,In Transit,DTDC,AWB40067
4068,2068.0,2026-08-08,2026-08-12,2026-08-12,Delivered,Ecom Express,AWB40068
4069,2069.0,2026-08-09,2026-08-13,,In Transit,Delhivery,AWB40069
4070,2070.0,2026-08-10,2026-08-14,2026-08-14,Delivered,Blue Dart,AWB40070
4071,2071.0,2026-08-11,2026-08-15,,In Transit,DTDC,AWB40071
4072,2072.0,2026-08-12,2026-08-16,2026-08-16,Delivered,Ecom Express,AWB40072
4073,2073.0,2026-08-13,2026-08-17,,In Transit,Delhivery,AWB40073
4074,2074.0,2026-08-14,2026-08-18,2026-08-18,Delivered,Blue Dart,AWB40074
4075,2075.0,2026-08-15,2026-08-19,,In Transit,DTDC,AWB40075
4076,2076.0,2026-08-01,2026-08-05,2026-08-05,Delivered,Ecom Express,AWB40076
4077,2077.0,2026-08-02,2026-08-06,,In Transit,Delhivery,AWB40077
4078,2078.0,2026-08-03,2026-08-07,2026-08-07,Delivered,Blue Dart,AWB40078
4079,2079.0,2026-08-04,2026-08-08,,In Transit,DTDC,AWB40079
4080,2080.0,2026-08-05,2026-08-09,2026-08-09,Delivered,Ecom Express,AWB40080
4081,2081.0,2026-08-06,2026-08-10,,In Transit,Delhivery,AWB40081
4082,2082.0,2026-08-07,2026-08-11,2026-08-11,Delivered,Blue Dart,AWB40082
4083,2083.0,2026-08-08,2026-08-12,,In Transit,DTDC,AWB40083
4084,2084.0,2026-08-09,2026-08-13,2026-08-13,Delivered,Ecom Express,AWB40084
4085,2085.0,2026-08-10,2026-08-14,,In Transit,Delhivery,AWB40085
4086,2086.0,2026-08-11,2026-08-15,2026-08-15,Delivered,Blue Dart,AWB40086
4087,2087.0,2026-08-12,2026-08-16,,In Transit,DTDC,AWB40087
4088,2088.0,2026-08-13,2026-08-17,2026-08-17,Delivered,Ecom Express,AWB40088
4089,2089.0,2026-08-14,2026-08-18,,In Transit,Delhivery,AWB40089
4090,2090.0,2026-08-15,2026-08-19,2026-08-19,Delivered,Blue Dart,AWB40090
4091,2001.0,2026-08-02,2026-08-06,2026-08-06,Delivered,Delhivery,AWB40001
4092,2002.0,,2026-08-08,,In Transit,Blue Dart,AWB40002
4093X,2003.0,08/06/2026,10/08/2026,10/08/2026,Delivered,DTDC,AWB40003
4094,9999.0,2026-08-07,2026-08-11,,In Transit,DTDC,AWB40004
4095,2005.0,2026-08-09,2026-08-13,2026-08-12,Delivered,Blue Dart,AWB40005
4096,2006.0,2026-08-10,2026-08-14,,delivered,Delhivery,AWB40006
4097,,2026-08-11,2026-08-15,,Preparing,DTDC,AWB40007
4098,2008.0,2026-08-12,invalid-date,,In Transit,UnknownCarrier,AWB40008
4099,2009.0,2026-08-13,2026-08-17,2026-08-16,Delivered,Blue Dart,
4100,2010.0,2026-08-14,2026-08-18,,Unknown,Delhivery,AWB40010
