order_id,customer_id,product_id,order_date,quantity,total_amount,order_status
2001,1.0,1001,2026-08-01,1,799,Confirmed
2002,2.0,1002,2026-08-02,5,12495,Confirmed
2003,3.0,1003,2026-08-03,2,2998,Delivered
2004,4.0,1004,2026-08-04,5,9495,Confirmed
2005,5.0,1005,2026-08-05,2,5998,Confirmed
2006,6.0,1006,2026-08-06,2,4398,Delivered
2007,7.0,1007,2026-08-07,4,5196,Confirmed
2008,8.0,1008,2026-08-08,4,13996,Confirmed
2009,9.0,1009,2026-08-09,3,38997,Delivered
2010,10.0,1010,2026-08-10,5,4995,Confirmed
2011,11.0,1001,2026-08-11,2,1598,Confirmed
2012,12.0,1002,2026-08-12,3,7497,Delivered
2013,13.0,1003,2026-08-13,1,1499,Confirmed
2014,14.0,1004,2026-08-14,2,3798,Confirmed
2015,15.0,1005,2026-08-15,1,2999,Delivered
2016,16.0,1006,2026-08-01,3,6597,Confirmed
2017,17.0,1007,2026-08-02,4,5196,Confirmed
2018,18.0,1008,2026-08-03,3,10497,Delivered
2019,19.0,1009,2026-08-04,1,12999,Confirmed
2020,20.0,1010,2026-08-05,2,1998,Confirmed
2021,21.0,1001,2026-08-06,5,3995,Delivered
2022,22.0,1002,2026-08-07,3,7497,Confirmed
2023,23.0,1003,2026-08-08,2,2998,Confirmed
2024,24.0,1004,2026-08-09,4,7596,Delivered
2025,25.0,1005,2026-08-10,4,11996,Confirmed
2026,26.0,1006,2026-08-11,4,8796,Confirmed
2027,27.0,1007,2026-08-12,2,2598,Delivered
2028,28.0,1008,2026-08-13,3,10497,Confirmed
2029,29.0,1009,2026-08-14,2,25998,Confirmed
2030,30.0,1010,2026-08-15,2,1998,Delivered
2031,31.0,1001,2026-08-01,5,3995,Confirmed
2032,32.0,1002,2026-08-02,5,12495,Confirmed
2033,33.0,1003,2026-08-03,3,4497,Delivered
2034,34.0,1004,2026-08-04,5,9495,Confirmed
2035,35.0,1005,2026-08-05,4,11996,Confirmed
2036,36.0,1006,2026-08-06,5,10995,Delivered
2037,37.0,1007,2026-08-07,4,5196,Confirmed
2038,38.0,1008,2026-08-08,3,10497,Confirmed
2039,39.0,1009,2026-08-09,2,25998,Delivered
2040,40.0,1010,2026-08-10,2,1998,Confirmed
2041,41.0,1001,2026-08-11,5,3995,Confirmed
2042,42.0,1002,2026-08-12,4,9996,Delivered
2043,43.0,1003,2026-08-13,1,1499,Confirmed
2044,44.0,1004,2026-08-14,1,1899,Confirmed
2045,45.0,1005,2026-08-15,1,2999,Delivered
2046,46.0,1006,2026-08-01,2,4398,Confirmed
2047,47.0,1007,2026-08-02,2,2598,Confirmed
2048,48.0,1008,2026-08-03,4,13996,Delivered
2049,49.0,1009,2026-08-04,5,64995,Confirmed
2050,50.0,1010,2026-08-05,1,999,Confirmed
2051,51.0,1001,2026-08-06,4,3196,Delivered
2052,52.0,1002,2026-08-07,4,9996,Confirmed
2053,53.0,1003,2026-08-08,5,7495,Confirmed
2054,54.0,1004,2026-08-09,4,7596,Delivered
2055,55.0,1005,2026-08-10,5,14995,Confirmed
2056,56.0,1006,2026-08-11,3,6597,Confirmed
2057,57.0,1007,2026-08-12,5,6495,Delivered
2058,58.0,1008,2026-08-13,1,3499,Confirmed
2059,59.0,1009,2026-08-14,1,12999,Confirmed
2060,60.0,1010,2026-08-15,5,4995,Delivered
2061,61.0,1001,2026-08-01,3,2397,Confirmed
2062,62.0,1002,2026-08-02,3,7497,Confirmed
2063,63.0,1003,2026-08-03,1,1499,Delivered
2064,64.0,1004,2026-08-04,3,5697,Confirmed
2065,65.0,1005,2026-08-05,4,11996,Confirmed
2066,66.0,1006,2026-08-06,2,4398,Delivered
2067,67.0,1007,2026-08-07,4,5196,Confirmed
2068,68.0,1008,2026-08-08,1,3499,Confirmed
2069,69.0,1009,2026-08-09,3,38997,Delivered
2070,70.0,1010,2026-08-10,5,4995,Confirmed
2071,71.0,1001,2026-08-11,2,1598,Confirmed
2072,72.0,1002,2026-08-12,5,12495,Delivered
2073,73.0,1003,2026-08-13,1,1499,Confirmed
2074,74.0,1004,2026-08-14,3,5697,Confirmed
2075,75.0,1005,2026-08-15,5,14995,Delivered
2076,76.0,1006,2026-08-01,5,10995,Confirmed
2077,77.0,1007,2026-08-02,2,2598,Confirmed
2078,78.0,1008,2026-08-03,2,6998,Delivered
2079,79.0,1009,2026-08-04,3,38997,Confirmed
2080,80.0,1010,2026-08-05,2,1998,Confirmed
2081,81.0,1001,2026-08-06,5,3995,Delivered
2082,82.0,1002,2026-08-07,5,12495,Confirmed
2083,83.0,1003,2026-08-08,1,1499,Confirmed
2084,84.0,1004,2026-08-09,5,9495,Delivered
2085,85.0,1005,2026-08-10,3,8997,Confirmed
2086,86.0,1006,2026-08-11,4,8796,Confirmed
2087,87.0,1007,2026-08-12,1,1299,Delivered
2088,88.0,1008,2026-08-13,1,3499,Confirmed
2089,89.0,1009,2026-08-14,3,38997,Confirmed
2090,90.0,1010,2026-08-15,3,2997,Delivered
2091,1.0,1001,2026-08-01,2,1598,Confirmed
2092,2.0,1002,,1,2499,Confirmed
2093X,3.0,1003,08/05/2026,2,2998,Delivered
2094,9999.0,1004,2026-08-07,1,1899,Confirmed
2095,4.0,9999,2026-08-08,1,1899,Confirmed
2096,5.0,1005,2026-08-09,-2,-5998,Confirmed
2097,,1006,2026-08-10,1,2199,Confirmed
2098,7.0,1007,10-Aug-2026,2,2598,Delivered
2099,8.0,1008,2026-13-40,1,3499,Delivered
2100,9.0,1009,2026-08-12,1,12999,Cancelled
