payment_id,order_id,payment_date,payment_method,amount,payment_status,transaction_id
3001,2001.0,2026-08-01,UPI,799.0,Paid,TXN30001
3002,2002.0,2026-08-02,Credit Card,12495.0,Paid,TXN30002
3003,2003.0,2026-08-03,Debit Card,2998.0,Paid,TXN30003
3004,2004.0,2026-08-04,Net Banking,9495.0,Paid,TXN30004
3005,2005.0,2026-08-05,Cash on Delivery,5998.0,Paid,TXN30005
3006,2006.0,2026-08-06,UPI,4398.0,Paid,TXN30006
3007,2007.0,2026-08-07,Credit Card,5196.0,Paid,TXN30007
3008,2008.0,2026-08-08,Debit Card,13996.0,Paid,TXN30008
3009,2009.0,2026-08-09,Net Banking,38997.0,Paid,TXN30009
3010,2010.0,2026-08-10,Cash on Delivery,4995.0,Paid,TXN30010
3011,2011.0,2026-08-11,UPI,1598.0,Paid,TXN30011
3012,2012.0,2026-08-12,Credit Card,7497.0,Paid,TXN30012
3013,2013.0,2026-08-13,Debit Card,1499.0,Paid,TXN30013
3014,2014.0,2026-08-14,Net Banking,3798.0,Paid,TXN30014
3015,2015.0,2026-08-15,Cash on Delivery,2999.0,Paid,TXN30015
3016,2016.0,2026-08-01,UPI,6597.0,Paid,TXN30016
3017,2017.0,2026-08-02,Credit Card,5196.0,Paid,TXN30017
3018,2018.0,2026-08-03,Debit Card,10497.0,Paid,TXN30018
3019,2019.0,2026-08-04,Net Banking,12999.0,Paid,TXN30019
3020,2020.0,2026-08-05,Cash on Delivery,1998.0,Paid,TXN30020
3021,2021.0,2026-08-06,UPI,3995.0,Paid,TXN30021
3022,2022.0,2026-08-07,Credit Card,7497.0,Paid,TXN30022
3023,2023.0,2026-08-08,Debit Card,2998.0,Paid,TXN30023
3024,2024.0,2026-08-09,Net Banking,7596.0,Paid,TXN30024
3025,2025.0,2026-08-10,Cash on Delivery,11996.0,Paid,TXN30025
3026,2026.0,2026-08-11,UPI,8796.0,Paid,TXN30026
3027,2027.0,2026-08-12,Credit Card,2598.0,Paid,TXN30027
3028,2028.0,2026-08-13,Debit Card,10497.0,Paid,TXN30028
3029,2029.0,2026-08-14,Net Banking,25998.0,Paid,TXN30029
3030,2030.0,2026-08-15,Cash on Delivery,1998.0,Paid,TXN30030
3031,2031.0,2026-08-01,UPI,3995.0,Paid,TXN30031
3032,2032.0,2026-08-02,Credit Card,12495.0,Paid,TXN30032
3033,2033.0,2026-08-03,Debit Card,4497.0,Paid,TXN30033
3034,2034.0,2026-08-04,Net Banking,9495.0,Paid,TXN30034
3035,2035.0,2026-08-05,Cash on Delivery,11996.0,Paid,TXN30035
3036,2036.0,2026-08-06,UPI,10995.0,Paid,TXN30036
3037,2037.0,2026-08-07,Credit Card,5196.0,Paid,TXN30037
3038,2038.0,2026-08-08,Debit Card,10497.0,Paid,TXN30038
3039,2039.0,2026-08-09,Net Banking,25998.0,Paid,TXN30039
3040,2040.0,2026-08-10,Cash on Delivery,1998.0,Paid,TXN30040
3041,2041.0,2026-08-11,UPI,3995.0,Paid,TXN30041
3042,2042.0,2026-08-12,Credit Card,9996.0,Paid,TXN30042
3043,2043.0,2026-08-13,Debit Card,1499.0,Paid,TXN30043
3044,2044.0,2026-08-14,Net Banking,1899.0,Paid,TXN30044
3045,2045.0,2026-08-15,Cash on Delivery,2999.0,Paid,TXN30045
3046,2046.0,2026-08-01,UPI,4398.0,Paid,TXN30046
3047,2047.0,2026-08-02,Credit Card,2598.0,Paid,TXN30047
3048,2048.0,2026-08-03,Debit Card,13996.0,Paid,TXN30048
3049,2049.0,2026-08-04,Net Banking,64995.0,Paid,TXN30049
3050,2050.0,2026-08-05,Cash on Delivery,999.0,Paid,TXN30050
3051,2051.0,2026-08-06,UPI,3196.0,Paid,TXN30051
3052,2052.0,2026-08-07,Credit Card,9996.0,Paid,TXN30052
3053,2053.0,2026-08-08,Debit Card,7495.0,Paid,TXN30053
3054,2054.0,2026-08-09,Net Banking,7596.0,Paid,TXN30054
3055,2055.0,2026-08-10,Cash on Delivery,14995.0,Paid,TXN30055
3056,2056.0,2026-08-11,UPI,6597.0,Paid,TXN30056
3057,2057.0,2026-08-12,Credit Card,6495.0,Paid,TXN30057
3058,2058.0,2026-08-13,Debit Card,3499.0,Paid,TXN30058
3059,2059.0,2026-08-14,Net Banking,12999.0,Paid,TXN30059
3060,2060.0,2026-08-15,Cash on Delivery,4995.0,Paid,TXN30060
3061,2061.0,2026-08-01,UPI,2397.0,Paid,TXN30061
3062,2062.0,2026-08-02,Credit Card,7497.0,Paid,TXN30062
3063,2063.0,2026-08-03,Debit Card,1499.0,Paid,TXN30063
3064,2064.0,2026-08-04,Net Banking,5697.0,Paid,TXN30064
3065,2065.0,2026-08-05,Cash on Delivery,11996.0,Paid,TXN30065
3066,2066.0,2026-08-06,UPI,4398.0,Paid,TXN30066
3067,2067.0,2026-08-07,Credit Card,5196.0,Paid,TXN30067
3068,2068.0,2026-08-08,Debit Card,3499.0,Paid,TXN30068
3069,2069.0,2026-08-09,Net Banking,38997.0,Paid,TXN30069
3070,2070.0,2026-08-10,Cash on Delivery,4995.0,Paid,TXN30070
3071,2071.0,2026-08-11,UPI,1598.0,Paid,TXN30071
3072,2072.0,2026-08-12,Credit Card,12495.0,Paid,TXN30072
3073,2073.0,2026-08-13,Debit Card,1499.0,Paid,TXN30073
3074,2074.0,2026-08-14,Net Banking,5697.0,Paid,TXN30074
3075,2075.0,2026-08-15,Cash on Delivery,14995.0,Paid,TXN30075
3076,2076.0,2026-08-01,UPI,10995.0,Paid,TXN30076
3077,2077.0,2026-08-02,Credit Card,2598.0,Paid,TXN30077
3078,2078.0,2026-08-03,Debit Card,6998.0,Paid,TXN30078
3079,2079.0,2026-08-04,Net Banking,38997.0,Paid,TXN30079
3080,2080.0,2026-08-05,Cash on Delivery,1998.0,Paid,TXN30080
3081,2081.0,2026-08-06,UPI,3995.0,Paid,TXN30081
3082,2082.0,2026-08-07,Credit Card,12495.0,Paid,TXN30082
3083,2083.0,2026-08-08,Debit Card,1499.0,Paid,TXN30083
3084,2084.0,2026-08-09,Net Banking,9495.0,Paid,TXN30084
3085,2085.0,2026-08-10,Cash on Delivery,8997.0,Paid,TXN30085
3086,2086.0,2026-08-11,UPI,8796.0,Paid,TXN30086
3087,2087.0,2026-08-12,Credit Card,1299.0,Paid,TXN30087
3088,2088.0,2026-08-13,Debit Card,3499.0,Paid,TXN30088
3089,2089.0,2026-08-14,Net Banking,38997.0,Paid,TXN30089
3090,2090.0,2026-08-15,Cash on Delivery,2997.0,Paid,TXN30090
3091,2001.0,2026-08-01,UPI,1598,Paid,TXN30001
3092,2002.0,,Credit Card,2499,Paid,TXN30002
3093X,2003.0,08/05/2026,Debit Card,2998,Paid,TXN30003
3094,9999.0,2026-08-07,UPI,1899,Paid,TXN30004
3095,2005.0,2026-08-09,upi,2999,paid,txn30005
3096,2006.0,2026-08-10,Bitcoin,-100,Paid,TXN30006
3097,,2026-08-10,UPI,2199,Pending,TXN30007
3098,2008.0,2026-08-11,,3499,Paid,TXN30008
3099,2009.0,2026-08-12,Credit Card,,Paid,TXN30009
3100,2010.0,2026-08-13,Cash on Delivery,12999,UNKNOWN,TXN30010
